Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
Nomad Games,Card,"Eligible if bought after 7/2/2016.
","April 27, 2020",58M,"5,000+",4.0.2,4.4 and up,https://www.nomadgames.co.uk/privacy-policy
Playdigious,Card,"Eligible if bought after 7/2/2016.
","June 11, 2020",54M,"50,000+",3.4,4.4 and up,https://playdigious.com/privacy-policy/
Supersolid,Arcade,"August 14, 2020",113M,"10,000,000+",0.19.6,4.4 and up,R$3.29 - R$309.99 per item,http://supersolid.com/privacy/
SEGA,Arcade,"August 10, 2020",70M,"10,000,000+",1.4.2,4.4 and up,"Users Interact, In-Game Purchases",http://www.sega.com/mprivacy
Ubisoft Entertainment,Arcade,"July 21, 2020",Varies with device,"100,000,000+",Varies with device,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
RAON GAMES,Arcade,"July 30, 2020",41M,"10,000,000+",1.31.12,4.4 and up,In-Game Purchases,http://cafe24.raongames.com/privacypolicy/com.raongames.growcastle.kr.html
Halfbrick Studios,Arcade,"August 13, 2020",Varies with device,"10,000,000+",1.6.10,4.1 and up,Digital Purchases,https://policies.google.com/privacy
JindoBlu,Arcade,"August 8, 2020",17M,"5,000,000+",1.40,4.4 and up,R$8.99 per item,https://www.jindoblu.com/privacy-policy
Bubble Shooter Artworks,Arcade,"August 13, 2020",31M,"10,000,000+",9.5,4.1 and up,Digital Purchases,http://www.ilyon.net/privacy-policy/
Apex Designs Entertainment Ltd,Arcade,"June 26, 2020",100M,"100,000,000+",2.104.9,5.0 and up,Digital Purchases,http://www.apex-designs.net/privacy_policy.html
nerByte GmbH,Arcade,"August 4, 2020",Varies with device,"100,000,000+",4.5.2,4.1 and up,"Users Interact, Digital Purchases",https://LepsWorld2.com/privacypolicy
Imangi Studios,Arcade,"July 17, 2020",43M,"500,000,000+",1.14.0,4.1 and up,Digital Purchases,http://imangistudios.com/privacy/privacy-policy.htm
SYBO Games,Arcade,"August 11, 2020",133M,"1,000,000,000+",2.4.2,4.4 and up,R$3.49 - R$379.90 per item,https://sybogames.com/privacy-policy/
Arcade Game Maker,Arcade,"July 1, 2020",26M,"1,000,000+",1.14.207,4.1 and up,R$14.99 - R$569.99 per item,https://sites.google.com/site/arcadegamemakerprivacypolicy/
nerByte GmbH,Arcade,"August 10, 2020",37M,"100,000,000+",3.6,4.1 and up,"Users Interact, In-Game Purchases",https://LepsWorld2.com/privacypolicy
Ketchapp,Arcade,"July 7, 2020",58M,"100,000,000+",1.8.9,4.1 and up,R$6.99 - R$65.99 per item,https://legal.ubi.com/privacypolicy
Halfbrick Studios,Arcade,"July 29, 2020",Varies with device,"100,000,000+",2.8.8,4.1 and up,Digital Purchases,https://policies.google.com/privacy
GameResort,Arcade,"May 13, 2020",37M,"50,000,000+",3.2.7,4.4 and up,In-Game Purchases,http://gameresort.com/privacy
RobTop Games,Arcade,"December 11, 2019",58M,"100,000,000+",2.2,4.0 and up,RobTop Games,http://www.robtopgames.com/privacy_policy.pdf
Ivy,Arcade,"August 11, 2020",91M,"1,000,000+",1.4.1,4.1 and up,In-Game Purchases,https://sites.google.com/site/winwingprivacypolicy/
ONESOFT,Arcade,"August 11, 2020",76M,"1,000,000+",2.0.0,4.1 and up,In-Game Purchases,https://sites.google.com/site/imoprivacypolicy/
LinkDesks - Jewel Games Star,Arcade,"August 6, 2020",71M,"10,000,000+",2.30.1,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
mobirix,Arcade,"July 28, 2020",38M,"100,000+",1.1.5,4.4 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Ubisoft Entertainment,Arcade,"July 28, 2020",178M,"50,000,000+",4.0.0,5.0 and up,In-Game Purchases,https://legal.ubi.com/privacypolicy/
RedFish Games,Arcade,"August 6, 2020",86M,"1,000,000+",1.32.5017,4.1 and up,In-Game Purchases,https://sites.google.com/site/redfishgamestudioprivacy/
mobirix,Arcade,"July 20, 2020",81M,"100,000+",1.0.10,4.1 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Outfit7 Limited,Casual,"May 25, 2018",54M,"50,000,000+",1.5.3.20,4.1 and up,Digital Purchases,http://outfit7.com/privacy/
Outfit7 Limited,Casual,"July 24, 2020",90M,"500,000,000+",4.7.2.796,4.4 and up,"Users Interact, Digital Purchases",http://outfit7.com/privacy/
Bubadu,Casual,"June 22, 2020",86M,"10,000,000+",1.59,4.1 and up,Digital Purchases,http://bubadu.com/privacy-policy.shtml
Entertainment One,Casual,"July 20, 2020",83M,"50,000,000+",3.0.1,4.1 and up,R$9.99 - R$18.90 per item,https://www.pjmasks.com/privacy-policy/
Tazkan Games,Arcade,"July 28, 2020",31M,"50,000,000+",2.91,4.1 and up,R$5.49 - R$67.99 per item,https://sites.google.com/view/privacy-policy-match-3-blaster/home
Devsisters Corporation,Arcade,"August 4, 2020",89M,"10,000,000+",6.612,4.1 and up,Digital Purchases,http://cookierun.com/privacy-policy
FM by Bubadu,Casual,"June 19, 2020",28M,"10,000,000+",1.34,4.1 and up,Digital Purchases,http://bubadu.com/privacy-policy.shtml
Budge Studios,Casual,"July 16, 2020",85M,"100,000,000+",1.11,4.1 and up,Digital Purchases,https://budgestudios.com/legal/privacy-policy/
Bubadu,Casual,"June 22, 2020",93M,"50,000,000+",1.75,4.1 and up,Digital Purchases,http://www.bubadu.com/privacy-policy.shtml
Budge Studios,Casual,"July 15, 2020",37M,"10,000,000+",1.6,4.1 and up,Digital Purchases,https://budgestudios.com/en/legal/privacy-policy/
TabTale,Casual,"May 15, 2020",74M,"10,000,000+",1.0.9,4.4 and up,In-Game Purchases,https://tabtale.com/privacy-policy/
Anime Dress Up Games,Casual,"July 2, 2020",37M,"10,000,000+",1.5,4.1 and up,R$9.99 per item,https://anime.girls.co.com/privacy-policy.html
Entertainment One,Casual,"July 20, 2020",40M,"5,000,000+",1.3,4.1 and up,R$9.99 - R$18.90 per item,https://www.rickyzoom.co.uk/privacy-policy/
SmellyMoo,Casual,"November 11, 2019",2.8M,"10,000,000+",14.129 Narwhal,4.0 and up,Digital Purchases,http://www.smellymoo.com/android/sandbox_privacy.html
Games Vessel,Casual,"August 6, 2020",14M,"10,000,000+",1.1.2,4.4 and up,R$25.99 - R$134.99 per item,http://gamesvessel.com/privacy/Color_Planet.android
IEC Global Pty Ltd,Casual,"August 13, 2020",38M,"10,000,000+",2.9,4.4 and up,R$5.49 - R$53.99 per item,http://privacy.iecglobal.com.au/
Outfit7 Limited,Casual,"August 13, 2020",110M,"100,000,000+",2.1.1.1011,4.4 and up,Digital Purchases,http://outfit7.com/privacy/
FunLink.Studio,Casual,"August 11, 2020",52M,"10,000,000+",388.0,4.1 and up,FunLink.Studio,https://sites.google.com/site/skystudiofruistsplash/privacypolicy
ZenLife Games,Casual,"August 4, 2020",153M,"50,000,000+",1.0.285,4.4 and up,R$3.49 - R$329.99 per item,https://zenjoy-res.tuanguwen.com/privacy/zenjoy.html
Playrix,Casual,"July 30, 2020",145M,"100,000,000+",4.6.0,4.2 and up,Digital Purchases,https://www.playrix.com/privacy/index.html
Playrix,Casual,"August 7, 2020",148M,"100,000,000+",3.8.5,4.2 and up,"Users Interact, Digital Purchases",https://www.playrix.com/privacy/index.html
King,Casual,"August 3, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,"Users Interact, Shares Info, Digital Purchases",https://king.com/privacyPolicy
StoryToys,Educational,"July 31, 2020",146M,"5,000,000+",5.5.0,4.4 and up,Digital Purchases,https://storytoys.com/privacy/
TutoTOONS,Educational,"July 8, 2020",60M,"10,000,000+",4.0.6,4.4 and up,In-Game Purchases,https://tutotoons.com/privacy_policy/embeded
Minibuu,Educational,"July 4, 2020",Varies with device,"10,000,000+",1.4.1,4.4 and up,R$8.49 per item,http://www.minibuu.com/privacy-policy
GoKids!,Educational,"July 29, 2020",33M,"5,000,000+",0.7.9,4.4 and up,Digital Purchases,http://gokidsmobile.com/privacy-policy/
TutoTOONS,Educational,"May 13, 2020",98M,"5,000,000+",1.0.44,4.4 and up,R$4.99 - R$104.99 per item,https://tutotoons.com/privacy_policy/
BabyBus,Educational,"August 3, 2020",60M,"10,000,000+",8.43.00.10,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
BabyBus,Educational,"June 24, 2020",86M,"10,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Pizza Games Apps,Educational,"January 29, 2020",81M,"1,000,000+",1.2,4.0 and up,Digital Purchases,http://pizzagames.net/privacy-policy
Raz Games,Educational,"July 9, 2020",31M,"50,000,000+",2.6.8,4.0.3 and up,Digital Purchases,http://www.razgames.com/privacy/
BabyBus,Educational,"July 3, 2020",78M,"10,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
BabyBus,Educational,"June 24, 2020",71M,"10,000,000+",8.43.00.11,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
BabyBus,Educational,"June 24, 2020",78M,"10,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Project First LLC,Educational,"August 11, 2020",82M,"1,000,000+",1.0.56,4.2 and up,Digital Purchases,https://projectfirst.ru/mobile-privacy-policy-en.html
RV AppStudios,Educational,"July 11, 2020",33M,"1,000,000+",1.3.1,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
RV AppStudios,Educational,"July 11, 2020",50M,"10,000,000+",1.3.7,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Office Create Corp.,Educational,"July 30, 2020",62M,"50,000,000+",1.62.0,4.1 and up,In-Game Purchases,https://app-ofcr.com/OFFICE_CREATE/Website/APP_CookingMama/en/privacypolicy.html
BabyBus,Educational,"June 24, 2020",97M,"10,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
TutoTOONS,Educational,"July 9, 2020",113M,"10,000,000+",13.0.14,4.4 and up,In-Game Purchases,https://tutotoons.com/privacy_policy/
RV AppStudios,Educational,"July 11, 2020",34M,"10,000,000+",1.5.8,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
IDZ Digital Private Limited,Educational,"July 14, 2020",Varies with device,"1,000,000+",3.5.0,3.0 and up,Digital Purchases,http://www.kidlo.com/privacypolicy.php
Marmalade Game Studio,Board,"June 19, 2019",67M,"500,000+",2.2.7,4.4 and up,Users Interact,https://policies.google.com/privacy
"Playdek, Inc.",Board,"Eligible if bought after 7/2/2016.
","July 31, 2020",35M,"10,000+",2.1.0,4.4 and up,https://policies.google.com/privacy
Portal Games Digital,Board,"Eligible if bought after 7/2/2016.
","July 24, 2020",124M,"1,000+",1.0.16,4.1 and up,https://portalgames.pl/en/privacy-policy/
AI Factory Limited,Board,"December 4, 2019",8.2M,"50,000+",2.31,4.1 and up,AI Factory Limited,http://www.aifactory.co.uk/privacy_policy_premium.htm
Marmalade Game Studio,Board,"Eligible if bought after 7/2/2016.
","June 4, 2020",44M,"500,000+",2.7.0,5.0 and up,https://policies.google.com/privacy
AI Factory Limited,Board,"July 22, 2020",16M,"100,000+",3.255,4.1 and up,AI Factory Limited,http://www.aifactory.co.uk/privacy_policy_premium.htm
kersofts,Board,"Eligible if bought after 7/2/2016.
","August 12, 2020",3.8M,"100,000+",23.0,4.0.3 and up,http://techmasterplus.com/android/privacy/offline-sudoku.php
Fuero Games Sp. z o.o.,Board,"August 8, 2020",61M,"5,000,000+",1.6.0,4.4 and up,Fuero Games Sp. z o.o.,https://policies.google.com/privacy
Marmalade Game Studio,Board,"June 4, 2020",52M,"50,000+",0.2.5,5.0 and up,Digital Purchases,https://policies.google.com/privacy
Marmalade Game Studio,Board,"Eligible if bought after 7/2/2016.
","September 19, 2019",55M,"10,000+",0.1.4,7.0 and up,https://policies.google.com/privacy
RV AppStudios,Educational,"August 8, 2020",31M,"1,000,000+",1.4.1,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Mahjong Solitaire Fun,Board,"May 30, 2020",28M,"1,000,000+",1.16.207.1740,4.1 and up,Mahjong Solitaire Fun,https://policies.google.com/privacy
Mattel163 Limited,Card,"July 22, 2020",55M,"50,000,000+",1.5.8815,4.1 and up,"Users Interact, Shares Location, In-Game Purchases",https://www.mattel163.com/privacypolicy.html
VNG STUDIO SINGAPORE,Card,"August 13, 2020",44M,"500,000+",26,4.1 and up,R$2.99 - R$49.99 per item,https://policies.google.com/privacy
Whatwapp Entertainment,Card,"August 4, 2020",Varies with device,"500,000+",2.3.12,4.1 and up,"Users Interact, Shares Info, Digital Purchases",http://whatwapp.com/privacy_policy.php
Quarzo Apps,Board,"May 7, 2020",7.8M,"500,000+",1.1.6,4.0 and up,Digital Purchases,http://www.quarzoapps.com/privacy_en.html
9 To 0 Corp.,Card,"July 22, 2020",24M,"500,000+",3.0.3,4.1 and up,"Users Interact, In-Game Purchases",https://9t0c.com/privacy
SNG Games,Board,"July 19, 2020",29M,"1,000,000+",1.6.2,4.1 and up,R$3.29 - R$379.99 per item,http://www.sngict.com/privacy
Marmalade Game Studio,Board,"Eligible if bought after 7/2/2016.
","July 30, 2020",155M,"100,000+",1.2.4,5.0 and up,https://policies.google.com/privacy
VNG STUDIO SINGAPORE,Card,"July 22, 2020",43M,"500,000+",1.1,4.1 and up,R$1.89 - R$49.99 per item,https://play.zing.vn/privacy
NHN PixelCube Corp.,Card,"July 24, 2020",77M,"1,000,000+",1.6.93,4.4 and up,"Users Interact, Digital Purchases",https://www.toast.com/terms/agreement.nhn?type=app&termsType=starfish_privacy&lang=ko
ME2ZEN Limited,Card,"August 13, 2020",117M,"5,000,000+",1.3444.0,4.1 and up,Digital Purchases,http://www.me2zen.com/privacypolicy.html
TUYOO GAME,Card,"August 6, 2020",86M,"100,000+",0.3.6,4.4 and up,In-Game Purchases,http://privacy.tuyooglobal.com/agreement_zh.html
VNG STUDIO SINGAPORE,Card,"August 12, 2020",50M,"1,000,000+",2.2,4.1 and up,R$2.00 - R$49.99 per item,https://play.zing.vn/privacy
Queens Solitaire Games,Card,"July 10, 2020",42M,"1,000,000+",2.9.514,4.1 and up,R$9.99 per item,https://sites.google.com/site/queensgamesprivacy/
IEC Global Pty Ltd,Casual,"July 29, 2020",50M,"5,000,000+",1.0.27,4.1 and up,R$4.19 - R$249.99 per item,http://privacy.iecglobal.com.au/
MobilityWare,Card,"June 16, 2020",47M,"500,000+",1.2.1.561,4.1 and up,MobilityWare,http://www.mobilityware.com/privacy-policy.php
MobilityWare,Card,"July 9, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,R$7.99 - R$114.99 per item,http://www.mobilityware.com/privacy-policy.php
Mouse Games,Card,"October 14, 2019",5.6M,"10,000,000+",2.7,2.0 and up,Mouse Games,https://policies.google.com/privacy
SEGA,Arcade,"August 7, 2020",99M,"100,000,000+",4.12.0,4.1 and up,In-Game Purchases,http://www.sega.com/mprivacy
JoyPac,Casual,"July 22, 2020",88M,"5,000,000+",1.1.17.1,5.0 and up,In-Game Purchases,http://joypacgames.com/privacy-policy/
BHome,Casual,"August 10, 2020",94M,"10,000,000+",2.0.1,5.0 and up,R$4.99 - R$529.99 per item,http://18.144.130.154/privacy.html
Gameloft SE,Casual,"July 17, 2020",43M,"50,000,000+",6.4.0h,4.1 and up,In-Game Purchases,http://www.gameloft.com/privacy-notice/
Rovio Entertainment Corporation,Casual,"July 27, 2020",67M,"100,000,000+",2.42.2,4.1 and up,Digital Purchases,https://www.rovio.com/privacy
Ivy,Casual,"July 31, 2020",67M,"500,000+",1.4.1,4.1 and up,In-Game Purchases,https://sites.google.com/site/jewelmysteryprivacypolicy/
Beetles Games Studio,Casual,"July 10, 2020",24M,"10,000,000+",3.18.7,4.4 and up,Digital Purchases,https://7iinvx8iqf6.s3.amazonaws.com/privacy.html
ME2ZEN Mobile Apps Inc,Card,"August 14, 2020",32M,"5,000,000+",2.317.0,4.1 and up,ME2ZEN Mobile Apps Inc,http://www.me2zen.com/privacypolicy.html
Melsoft Games,Casual,"August 3, 2020",37M,"50,000,000+",2020.8.1,4.1 and up,"Users Interact, In-Game Purchases",http://melsoft-games.com/en-privacy-policy/
coolstudios,Casual,"August 13, 2020",29M,"10,000,000+",2.6.4,4.1 and up,Digital Purchases,http://api1.yyxiao8.com/privacypolicy/coolstudiosprivacypolicy.html
Lunime,Casual,"January 22, 2020",99M,"10,000,000+",1.1.4,4.0 and up,"Users Interact, Digital Purchases",http://lunime.com/privacypolicy/
King,Casual,"August 10, 2020",Varies with device,"100,000,000+",1.174.5,4.1 and up,"Shares Info, Digital Purchases",https://king.com/privacyPolicy
Ohayoo,Casual,"July 24, 2020",40M,"500,000+",1.7.24,4.4 and up,R$5.49 - R$539.99 per item,http://cdn-tf-ovs.guangyuegame.com/privacy/rooster_defense.html
Bubble Shooter,Casual,"August 6, 2020",Varies with device,"100,000,000+",12.0.2,4.1 and up,Digital Purchases,http://www.ilyon.net/privacy-policy/
PUZZLEJOY,Casual,"August 7, 2020",54M,"10,000,000+",1.32.4,4.1 and up,Digital Purchases,https://policies.google.com/privacy
ELECTRONIC ARTS,Casual,"August 3, 2020",32M,"100,000,000+",8.3.1,4.1 and up,Digital Purchases,http://privacy-policy.truste.com/certified-policy/mobile/app/en/PlantsvsZombies2.com/index_EN.html
Outfit7 Limited,Casual,"August 3, 2020",93M,"100,000,000+",1.1.2.2033,4.4 and up,In-Game Purchases,http://outfit7.com/privacy/
Lunime,Casual,"August 9, 2020",100M,"5,000,000+",1.0.7,Varies with device,Lunime,http://lunime.com/privacypolicy/
Genuine Studio Ltd,Casual,"August 2, 2020",71M,"100,000+",1.1.48,5.0 and up,R$4.09 - R$14.99 per item,https://policies.google.com/privacy
TutoTOONS,Educational,"July 10, 2020",78M,"10,000,000+",6.0.32,4.4 and up,In-App Purchases,http://tutotoons.com/privacy_policy/
RV AppStudios,Educational,"July 11, 2020",41M,"1,000,000+",1.2.5,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Spiel,Casual,"July 22, 2020",45M,"50,000+",2.0,6.0 and up,In-Game Purchases,http://www.spielstudios.com/privacy
TutoTOONS,Educational,"July 22, 2020",100M,"10,000,000+",5.0.11,4.4 and up,In-Game Purchases,http://tutotoons.com/privacy_policy/
Yodo1 Games,Casual,"June 16, 2020",50M,"10,000,000+",1.27.0,4.4 and up,In-Game Purchases,https://www.yodo1.com/en/privacy/
TutoTOONS,Educational,"July 10, 2020",91M,"10,000,000+",5.0.22,4.4 and up,Digital Purchases,http://tutotoons.com/privacy_policy/
coolstudios,Casual,"August 8, 2020",21M,"5,000,000+",1.2.8,4.1 and up,In-Game Purchases,http://api1.yyxiao8.com/privacypolicy/coolstudiosprivacypolicy.html
AppQuiz,Educational,"June 16, 2020",33M,"10,000,000+",4.4,4.0.3 and up,R$25.99 per item,http://edujoy.es/privacy_policy.html
Bebi Family Games: Free & Educational for toddlers,Educational,"May 24, 2020",54M,"1,000,000+",6.6,4.4 and up,R$2.99 - R$3.19 per item,http://bebi.family/privacy-policy/
Orange Studios Games,Educational,"July 30, 2020",57M,"10,000,000+",1.123,4.1 and up,R$13.99 per item,http://orangestudiosgames.com/privacy_policy.html
Hippo Kids Games,Educational,"June 26, 2020",50M,"10,000,000+",2.8.3,4.2 and up,R$3.79 - R$44.99 per item,https://policies.google.com/privacy
BabyBus,Educational,"July 31, 2020",148M,"10,000,000+",8.47.15.10,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
BabyBus,Educational,"August 13, 2020",75M,"10,000,000+",8.43.00.10,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
GoKids!,Educational,"August 14, 2020",77M,"50,000,000+",3.1.13,4.4 and up,Digital Purchases,http://gokidsmobile.com/privacy-policy/
BabyBus,Educational,"August 10, 2020",75M,"10,000,000+",8.39.13.02,4.2 and up,R$3.99 - R$42.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
Bimi Boo Kids Learning Games for Toddlers FZ-LLC,Educational,"July 30, 2020",38M,"1,000,000+",2.25,4.1 and up,Digital Purchases,https://bimiboo.com/privacy-policy/
BabyBus,Educational,"August 11, 2020",79M,"10,000,000+",8.43.00.10,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
Bini Bambini,Educational,"July 6, 2020",57M,"10,000,000+",2.7.2.11,4.1 and up,In-App Purchases,http://binibambini.com/en/privacy-policy/
RV AppStudios,Educational,"July 11, 2020",48M,"5,000,000+",1.2.2,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
BabyBus,Educational,"July 2, 2020",70M,"10,000,000+",8.45.00.03,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
Jernung,Educational,"July 4, 2020",21M,"500,000+",3.1.6,5.1 and up,R$9.99 per item,https://jernung.com/privacy
BabyBus,Educational,"July 15, 2020",152M,"5,000,000+",8.46.11.02,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
BabyBus,Educational,"June 24, 2020",100M,"10,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
RV AppStudios,Educational,"July 11, 2020",43M,"10,000,000+",1.0.7,4.1 and up,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
X-Flow,Board,"June 27, 2020",17M,"10,000,000+",2.2.18,4.4 and up,In-Game Purchases,http://www.x-flow.app/privacy-policy.html
Aviva Sun,Board,"August 5, 2020",Varies with device,"10,000,000+",1.2.1.0,5.0 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Higgs Studio,Board,"August 12, 2020",Varies with device,"10,000,000+",2.0.2,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Gameberry Labs,Board,"August 11, 2020",62M,"10,000,000+",1.17.121,4.1 and up,In-Game Purchases,http://gameberrylabs.com/privacy
Better Life - Color and Draw,Board,"August 14, 2020",55M,"50,000,000+",2.24.1,4.4 and up,Digital Purchases,http://www.dailyinnovation.biz/privacy.html
Moonfrog,Board,"August 7, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,"Users Interact, In-Game Purchases",http://teenpattigold.com/privacynew.html
BabyBus,Educational,"August 11, 2020",69M,"10,000,000+",8.43.00.10,4.2 and up,R$0.99 per item,http://en.babybus.com/index/privacyPolicy.shtml
Yarsa Games,Board,"June 27, 2020",18M,"10,000,000+",0.12.1,4.4 and up,Yarsa Games,https://sites.google.com/view/yarsa-games/ludo/privacy-policy
X-Flow,Board,"June 29, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,In-Game Purchases,http://www.x-flow.app/privacy-policy.html
BlackLight Studio Games,Board,"August 5, 2020",33M,"50,000,000+",22.25,4.3 and up,"Users Interact, In-Game Purchases",http://blacklightsw.com/privacy-policy.html
CanaryDroid,Board,"March 4, 2020",4.2M,"10,000,000+",1.1.6,2.3 and up,CanaryDroid,https://policies.google.com/privacy
Chess & Checkers Games,Board,"July 27, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,R$2.49 - R$39.99 per item,http://draughtsforandroid.com/privacy.html
AI Factory Limited,Board,"July 22, 2020",21M,"50,000,000+",3.255,4.4 and up,AI Factory Limited,http://www.aifactory.co.uk/privacy_policy.htm
Gameberry Labs,Board,"August 7, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,"Users Interact, In-Game Purchases",http://gameberrylabs.com/privacy
Loop Games,Board,"August 7, 2020",Varies with device,"50,000,000+",1.30,4.1 and up,Loop Games,https://loop.games/privacy.php
Gametion Technologies Pvt Ltd,Board,"August 9, 2020",47M,"100,000,000+",5.2.0.163,4.1 and up,"Users Interact, In-Game Purchases",https://www.gametion.com/privacypolicy.htm
English Checkers,Board,"July 2, 2020",3.6M,"50,000,000+",4.4.0,4.1 and up,R$12.99 per item,https://policies.google.com/privacy
Solitaire Fun,Card,"June 29, 2020",31M,"1,000,000+",2.9.503,4.1 and up,Digital Purchases,https://sites.google.com/site/privacypolicyofsolitaire/
Queens Solitaire Games,Card,"June 8, 2020",34M,"1,000,000+",2.9.507,4.1 and up,R$9.49 per item,https://sites.google.com/site/queensgamesprivacy/
Absolute Games : Free Bingo Games,Card,"April 28, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,In-Game Purchases,http://www.absolutegames.com/privacy.html
Fabled Game,Card,"Eligible if bought after 7/2/2016.
","August 5, 2020",94M,"100,000+",2.90,5.0 and up,https://fabledgame.com/en/privacy-policy/
Beetles Games Studio,Card,"August 6, 2020",68M,"1,000,000+",1.9.1,4.4 and up,R$4.99 - R$47.49 per item,https://policies.google.com/privacy
Casual Game Company,Card,"August 12, 2020",Varies with device,"1,000,000+",1.17,4.4W and up,R$19.99 per item,https://policies.google.com/privacy
Digitalmoka,Card,"July 14, 2020",28M,"1,000,000+",2.5.0,4.1 and up,"Users Interact, Digital Purchases",http://www.digitalmoka.com/consumer-terms/privacy-it/
MobilityWare,Card,"July 20, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,R$7.49 - R$114.99 per item,http://www.mobilityware.com/privacy-policy.php
Solitaire Card Games Ltd,Card,"May 12, 2020",16M,"10,000,000+",4.19.1.20200421,4.0 and up,In-Game Purchases,https://policies.google.com/privacy
Frigate Studios,Card,"August 11, 2020",25M,"5,000,000+",4.22,4.4 and up,Frigate Studios,http://frigatestudios.com/privacy_policy_durak.html
KARMAN Games,Card,"July 6, 2020",Varies with device,"500,000+",Varies with device,Varies with device,Users Interact,https://www.iubenda.com/privacy-policy/393558
BlackLight Studio Games,Card,"June 24, 2020",16M,"10,000,000+",7.5.8,4.1 and up,"Users Interact, In-Game Purchases",http://www.blacklightsw.com/privacy-policy.html
Jogatina.com,Card,"July 30, 2020",Varies with device,"5,000,000+",4.0.2,4.1 and up,Digital Purchases,http://www.jogatina.com/privacy.do
Michael Matveev,Card,"July 3, 2019",3.7M,"1,000,000+",1.59,2.3 and up,Digital Purchases,https://policies.google.com/privacy
Supertreat,Card,"August 8, 2020",182M,"10,000,000+",1.69.2,4.1 and up,Digital Purchases,https://www.playtika.com/privacy-policy
Classic Cards,Card,"August 4, 2020",26M,"5,000,000+",16.3.17.RC-GP-Free(1603044),4.4 and up,R$53.99 per item,http://maplemedia.io/privacy
"Jam City, Inc.",Card,"August 13, 2020",107M,"1,000,000+",13.2.0,4.4 and up,"Users Interact, In-Game Purchases",https://www.jamcity.com/privacyandterms
Ten Square Games,Card,"August 12, 2020",85M,"500,000+",1.96,4.4 and up,R$3.99 - R$769.99 per item,https://policies.google.com/privacy
Studio Pango,Music,"Eligible if bought after 7/2/2016.
","January 14, 2020",Varies with device,"1,000+",1.0.1,4.1 and up,https://policies.google.com/privacy
MontanaGames,Music,"January 31, 2020",57M,"10,000+",3.3.2,4.1 and up,Digital Purchases,https://montana-games.org/privacypolicy.html
Com2uS,Card,"July 29, 2020",Varies with device,"1,000,000+",2.0.3,4.1 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
"O2Jam Company Inc.,",Music,"Eligible if bought after 7/2/2016.
","March 24, 2020",70M,"5,000+",1.29,4.1 and up,http://cs.o2jam.com/policies/policy_o2jam.php?lang=en&type=privacy
Big Blue Bubble,Music,"Eligible if bought after 7/2/2016.
","May 4, 2020",28M,"10,000+",1.2.2,4.0.3 and up,http://www.bigbluebubble.com/privacy-policy/
K0RTXTECH,Music,"Eligible if bought after 7/2/2016.
","July 15, 2020",Varies with device,"10,000+",Varies with device,Varies with device,http://zecortex.free.fr/jungle-music-app/index.html#privacy-policy
